State,numsubs
,280911
,1
 ,195
  ,43
                                                  ,1
    FL33708-1026,1
    PA,11
   WA,1
  OH,2
 .,1
 A,1
 AZ,3
 C,10
 C A,1
 CA,19
 CO,2
 F,3
 FL,2
 G,1
 GA,1
 H,1
 I,4
 ID,1
 IL,13
 IN,1
 IRELAND,1
 KS,1
 M,4
 MA,7
 MI,5
 N,28
 O,1
 OH,3
 PA,10
" PHILADELPHIA, P",1
 R,2
 S,1
 T,2
 UK,1
 V,3
 VA,3
 W,2
 WA,5
!A,1
!L,2
"""BERKSHIRE,UNITED KINGDOM""",1
"""CHICAGO HEIGHTS, IL""",1
"""ENGLAND, UK""",1
"""LONDON, UK""",1
"""MEATH, IRELAND""",1
"""MIDLAND, MI""",1
"""PHILADELPHIA, PA""",1
&KS,1
',12
'IL,1
(US EMBASSY),1
)H,1
)HIO,1
)K,1
)N,1
*,6
* ,1
**,1
", ",1
-,22
- -,2
--,25
---,4
------ CHOOSE ------,1
--STATES--,1
-1,3
-999,1
.,8
. ,1
.N,1
/,1
//,1
0,8
001,1
01,5
02,1
03,1
04,2
05462,1
07079,2
07920,1
0H,7
0NT,4
0NT.,2
0R,15
0REGON,1
1,6
10,19
10002,1
10004,1
10009,1
10011,1
10013,2
10014,1
10016,1
10021,1
10022,1
10025,3
10027,1
10036,1
1005,1
10065,1
10128,1
10312,1
10514,1
10598,2
11,3
1106,1
11106,2
1111,1
11201,3
11209,1
11211,4
11215,2
11217,3
11218,3
11219,1
11221,2
11222,1
11225,1
11238,2
11369,2
12,4
12037,1
12514,1
13,35
1301,1
138,1
14127,1
15,22
15601,1
1702,1
18,3
19,1
19010,1
19081,1
19081-1298,2
19087,4
19103,2
1915,1
19|MA,1
1L,1
2,1
20,10
20002,1
20007,1
20010,2
203,4
20814,1
20853,1
20882,1
21,2
2116,1
2119,1
2124,1
2130,1
2132,1
2140,2
2153,1
2167 43 ST,1
22,2
2207 18TH AVE. S. ,1
23,3
24,48
240-381-2018,1
2446,4
25,22
25623,9
26,3
27,10
27606,1
28,8
2840,11
28804,1
2906,2
3,1
30,11
301-585-6635,1
30140,1
30307,1
3043,1
30747,1
31,11
3185,1
31901,1
32,21
32317,1
33,3
33477,1
3353,1
34106,1
352,1
3575,1
36,2
37220,1
37720,1
38128,1
382,1
39,5
4,5
40,42
41,4
42,1
422,1
43,3
44,2
44709,1
45208,1
45429,1
46,129
46310,1
46385,1
47,4
48,1
48017,1
481 LABOUNTY ROAD,1
48104,1
48230,3
49,11
49115,1
4C,1
4M,1
5,1
503 245 5238,1
5062,1
51,53
52,23
52240,1
52245,2
53,18
53210,1
53215,1
54,2
55407,1
58,2
59,1
59808,1
6,26
60,2
60035,1
60610,8
60611,1
60641,1
60647,1
60657,1
62,2
6238,1
628,1
63,14
63105,1
63301,1
65,3
67,16
67212,1
67502,1
68,85
7,19
70,2
71,2
75,1
75018,1
75201,2
76022,1
7666,1
77006,4
77030,1
773-398-6328,1
7852493859,1
78704,1
7960,1
8,67
8057,1
83,6
83869,1
84105,15
84790,5
85310,3
85719,1
86,1
8820,1
89519,1
9,1
90010,1
90027,2
90034,2
90046,3
90049,1
90064,1
91030,1
91103,1
91104,1
91316,1
91367,6
91436,1
91776,1
94010,4
94022,1
94025,1
94044,1
94107,2
94109,1
94111,1
94112,1
94116,2
94585,1
94607,4
94707,3
94710,1
94804,1
95003,2
95032,2
95125,1
95472,1
95608,1
97210,2
97215,1
97420,1
98,2
98027,1
98117,1
98286,1
98407,1
99004,1
99901,11
<ICHIGAN,2
?,2
??,7
A,29
A.,2
A.R.,1
AA,52
AA ,1
AAAA,1
AB,685
"ABACCO, THE BAHAMAS",1
ABBEY WOOD,1
ABERDEEN CITY,1
ABERDEENSHIRE,3
AC,12
AD,7
AD DAWHA,1
AE,330
AE ,1
AFGHANISTAN,2
AI,2
AICHI,2
AIN,1
AK,2102
"AKITA,JAPAN",1
AL,13630
AM,2
AMHERST,2
AN,2
ANDHRA PRADESH,4
ANDOVER,1
ANGUS,2
ANTIGUA,1
ANTIOQUIA,7
ANTWERP,1
AP,103
AP ,2
APO AE 09182,1
"APO, AE",1
APO/FPO-MIDDLE EAST,13
AR,4351
ARAGóN,1
ARDO YOU THINK WE CARE IF YOU LOST YOUR CELL PHONE,1
ARGENTINA,8
ARGYLL,1
ARLINGTON,3
ARLINGTON HEIGHTS,1
"ARLINGTON, VA",1
ARMY EUROPE    (CA),1
ARNOLD,1
ARTIC,1
ARUBA,1
ARYLAND,2
ARZIZONA,1
AR`,1
AS,5
ASSAM ,1
AT,11
ATLANTA,3
"ATLANTA, GA",1
AU,31
AUBURN,2
AUCKLAND,18
AUSTIN,1
AU|NSW,1
AV,3
AVEIRO,1
AVON,5
AX,3
AYRSHIRE,1
AZ,23884
AZ8,1
AZ86406,1
AZA,1
AZI,1
AZ`,1
B,4
B C,5
B.,2
B. C .,1
B. C.,4
B28 8TE,1
B3A 3T1,1
B3T0C2,1
B5D9693A-F0CF-4F03-88F6-873C21A5C6F9,1
BA,11
BADEN-WUERTTEMBURG,1
BAHAMAS,7
"BAJA, MX",1
BANGKOK,6
BANGLADESH,2
BARABOO,1
BARCELONA,11
BAY AREA,1
BAYERN,1
BB,2
BBB,1
BC,6216
BD,13
BDFFC,1
BE,20
BEACH,1
BEDMINSTER,1
BELGIUM,26
BELGUIM,1
BELIZE,1
BELLINGHAM,1
BENICIA,2
BENIN,2
BENTON,1
BERGEN,1
BERKS,29
BERKSHIRE,3
BERKSHIRE ,1
BERLIN,6
BERMUDA,68
BETHLEHEM,5
BIRMINGHAM,1
BJ,2
BLANK,1
BLOOMSBURG,1
BLUB,1
BN,1
BNNN,1
BO,3
BOB,1
BOGOTA,1
BOHEMIA,1
BOLIVIA,1
BOLOGNA,1
BONITA,1
BOSTON,7
